iter	MultiClass
0	1.922327751
1	1.787330236
2	1.705567968
3	1.645202115
4	1.61039362
5	1.575829798
6	1.553260269
7	1.534110003
8	1.520152017
9	1.507630233
10	1.495058817
11	1.48829906
12	1.480175428
13	1.4714951
14	1.466175711
15	1.461115505
16	1.453580431
17	1.450324697
18	1.446524661
19	1.443200949
20	1.439857783
21	1.436373211
22	1.432883743
23	1.430159463
24	1.425897236
25	1.423736868
26	1.422027176
27	1.418739696
28	1.41687704
29	1.414478928
30	1.412634374
31	1.410684653
32	1.409229051
33	1.407615115
34	1.405243768
35	1.403276794
36	1.400984609
37	1.399535959
38	1.396774819
39	1.394498885
40	1.392915185
41	1.391588421
42	1.38987966
43	1.388475887
44	1.387361526
45	1.386307801
46	1.38511075
47	1.383861277
48	1.381936175
49	1.381132552
50	1.380038214
51	1.3784704
52	1.377761567
53	1.376669515
54	1.375864121
55	1.374698506
56	1.373184822
57	1.371958451
58	1.371049233
59	1.370087837
60	1.369531962
61	1.368814668
62	1.368062005
63	1.365973981
64	1.364830769
65	1.364247436
66	1.363207641
67	1.362386892
68	1.361358676
69	1.360135712
70	1.359556449
71	1.35919398
72	1.358183235
73	1.357217634
74	1.356496978
75	1.355695663
76	1.354637903
77	1.353899881
78	1.353177025
79	1.351963685
80	1.351236918
81	1.35079653
82	1.350082951
83	1.349127293
84	1.348495908
85	1.348043451
86	1.347114299
87	1.346731715
88	1.34643946
89	1.345874283
90	1.345311036
91	1.344973563
92	1.344407359
93	1.344039433
94	1.343583306
95	1.342932636
96	1.342495135
97	1.341679368
98	1.341304873
99	1.340924002
