iter	Passed	Remaining
0	3290	325725
1	6126	300222
2	9211	297843
3	12127	291061
4	15106	287024
5	18078	283225
6	21144	280915
7	24112	277295
8	27113	274143
9	30180	271627
10	34082	275758
11	37343	273853
12	40489	270968
13	43384	266502
14	46864	265564
15	49939	262182
16	52950	258520
17	56117	255647
18	59460	253491
19	62665	250663
20	65976	248196
21	68912	244327
22	71980	240977
23	75041	237631
24	77832	233496
25	81437	231784
26	85132	230172
27	89234	229458
28	94187	230596
29	98098	228895
30	101665	226288
31	105245	223646
32	108854	221007
33	112104	217614
34	115399	214313
35	118575	210800
36	121736	207280
37	125198	204271
38	128428	200875
39	131829	197743
40	135314	194720
41	138700	191538
42	142046	188294
43	145455	185124
44	148962	182065
45	152657	179207
46	156225	176169
47	159730	173041
48	163207	169868
49	166794	166794
50	170270	163593
51	173383	160046
52	176805	156789
53	180247	153544
54	183826	150403
55	187254	147128
56	190620	143801
57	193808	140343
58	197159	137009
59	200544	133696
60	204088	130482
61	207596	127236
62	211027	123936
63	214169	120470
64	217485	117107
65	220917	113805
66	224278	110465
67	227720	107162
68	231206	103875
69	234554	100523
70	237954	97192
71	241526	93926
72	245016	90622
73	248465	87298
74	251958	83986
75	255410	80655
76	258737	77285
77	262085	73921
78	265682	70624
79	269171	67292
80	272604	63944
81	276149	60618
82	279507	57248
83	282973	53899
84	286338	50530
85	289870	47188
86	293292	43825
87	296814	40474
88	300318	37117
89	303719	33746
90	307140	30376
91	310716	27018
92	314124	23643
93	317753	20282
94	321196	16905
95	324683	13528
96	328017	10144
97	331497	6765
98	334970	3383
99	338591	0
