year,state,population
1992,AK,588736
1992,AL,4154014
1992,AR,2415984
1992,AZ,3915740
1992,CA,30974659
1992,CO,3495939
1992,CT,3300712
1992,DC,597565
1992,DE,694925
1992,FL,13650553
1992,GA,6817203
1992,HI,1158613
1992,IA,2818401
1992,ID,1071685
1992,IL,11694184
1992,IN,5674547
1992,KS,2532394
1992,KY,3765469
1992,LA,4293003
1992,MA,6028709
1992,MD,4923368
1992,ME,1238508
1992,MI,9479065
1992,MN,4495572
1992,MO,5217101
1992,MS,2623734
1992,MT,825770
1992,NC,6897214
1992,ND,638223
1992,NE,1611687
1992,NH,1117784
1992,NJ,7880508
1992,NM,1595442
1992,NV,1351367
1992,NY,18246653
1992,OH,11029431
1992,OK,3220517
1992,OR,2991755
1992,PA,12049450
1992,RI,1012581
1992,SC,3620464
1992,SD,712801
1992,TN,5049742
1992,TX,17759738
1992,UT,1836799
1992,VA,6414307
1992,VT,572751
1992,WA,5160757
1992,WI,5025398
1992,WV,1806451
1992,WY,466251
1993,AK,599432
1993,AL,4214202
1993,AR,2456303
1993,AZ,4065440
1993,CA,31274928
1993,CO,3613734
1993,CT,3309175
1993,DC,595301
1993,DE,706378
1993,FL,13927185
1993,GA,6978240
1993,HI,1172838
1993,IA,2836972
1993,ID,1108768
1993,IL,11809579
1993,IN,5739019
1993,KS,2556547
1993,KY,3812206
1993,LA,4316428
1993,MA,6060569
1993,MD,4971889
1993,ME,1242302
1993,MI,9540114
1993,MN,4555954
1993,MO,5271175
1993,MS,2655100
1993,MT,844761
1993,NC,7042818
1993,ND,641216
1993,NE,1625590
1993,NH,1129458
1993,NJ,7948915
1993,NM,1636453
1993,NV,1411215
1993,NY,18374954
1993,OH,11101140
1993,OK,3252285
1993,OR,3060367
1993,PA,12119724
1993,RI,1015112
1993,SC,3663314
1993,SD,722159
1993,TN,5137584
1993,TX,18161612
1993,UT,1898404
1993,VA,6509630
1993,VT,577748
1993,WA,5278842
1993,WI,5084889
1993,WV,1817539
1993,WY,473081
1994,AK,603308
1994,AL,4260229
1994,AR,2494019
1994,AZ,4245089
1994,CA,31484435
1994,CO,3724168
1994,CT,3316121
1994,DC,589239
1994,DE,717545
1994,FL,14239444
1994,GA,7157165
1994,HI,1187536
1994,IA,2850746
1994,ID,1145140
1994,IL,11912585
1994,IN,5793526
1994,KS,2580513
1994,KY,3849088
1994,LA,4347481
1994,MA,6095241
1994,MD,5023060
1994,ME,1242662
1994,MI,9597737
1994,MN,4610355
1994,MO,5324497
1994,MS,2688992
1994,MT,861306
1994,NC,7187398
1994,ND,644804
1994,NE,1639041
1994,NH,1142560
1994,NJ,8014306
1994,NM,1682398
1994,NV,1499298
1994,NY,18459470
1994,OH,11152454
1994,OK,3280940
1994,OR,3121264
1994,PA,12166050
1994,RI,1015960
1994,SC,3705397
1994,SD,730790
1994,TN,5231438
1994,TX,18564062
1994,UT,1960446
1994,VA,6593139
1994,VT,583836
1994,WA,5375161
1994,WI,5133678
1994,WV,1820421
1994,WY,480283
1995,AK,604412
1995,AL,4296800
1995,AR,2535399
1995,AZ,4432499
1995,CA,31696582
1995,CO,3826653
1995,CT,3324144
1995,DC,580517
1995,DE,729734
1995,FL,14537875
1995,GA,7328413
1995,HI,1196854
1995,IA,2867373
1995,ID,1177322
1995,IL,12008437
1995,IN,5851459
1995,KS,2601007
1995,KY,3887427
1995,LA,4378779
1995,MA,6141445
1995,MD,5070033
1995,ME,1243480
1995,MI,9676211
1995,MN,4660180
1995,MO,5378247
1995,MS,2722659
1995,MT,876553
1995,NC,7344674
1995,ND,647832
1995,NE,1656992
1995,NH,1157561
1995,NJ,8083242
1995,NM,1720394
1995,NV,1581578
1995,NY,18524104
1995,OH,11202751
1995,OK,3308208
1995,OR,3184369
1995,PA,12198403
1995,RI,1017002
1995,SC,3748582
1995,SD,737925
1995,TN,5326936
1995,TX,18958751
1995,UT,2014177
1995,VA,6670693
1995,VT,589002
1995,WA,5481027
1995,WI,5184836
1995,WV,1823700
1995,WY,485160
1996,AK,608569
1996,AL,4331102
1996,AR,2572109
1996,AZ,4586940
1996,CA,32018834
1996,CO,3919972
1996,CT,3336685
1996,DC,572377
1996,DE,740977
1996,FL,14853360
1996,GA,7501069
1996,HI,1203755
1996,IA,2880000
1996,ID,1203083
1996,IL,12101997
1996,IN,5906013
1996,KS,2614554
1996,KY,3919535
1996,LA,4398877
1996,MA,6179756
1996,MD,5111986
1996,ME,1249060
1996,MI,9758645
1996,MN,4712827
1996,MO,5431553
1996,MS,2748085
1996,MT,886254
1996,NC,7500670
1996,ND,650382
1996,NE,1673740
1996,NH,1174719
1996,NJ,8149596
1996,NM,1752326
1996,NV,1666320
1996,NY,18588460
1996,OH,11242827
1996,OK,3340129
1996,OR,3247111
1996,PA,12220464
1996,RI,1020893
1996,SC,3796200
1996,SD,742213
1996,TN,5416643
1996,TX,19340342
1996,UT,2067976
1996,VA,6750884
1996,VT,593701
1996,WA,5569753
1996,WI,5229986
1996,WV,1822808
1996,WY,488167
1997,AK,612968
1997,AL,4367935
1997,AR,2601090
1997,AZ,4736990
1997,CA,32486010
1997,CO,4018293
1997,CT,3349348
1997,DC,567736
1997,DE,751487
1997,FL,15186304
1997,GA,7685099
1997,HI,1211640
1997,IA,2891119
1997,ID,1228520
1997,IL,12185715
1997,IN,5955267
1997,KS,2635292
1997,KY,3952747
1997,LA,4421071
1997,MA,6226058
1997,MD,5157328
1997,ME,1254774
1997,MI,9809051
1997,MN,4763390
1997,MO,5481193
1997,MS,2777004
1997,MT,889865
1997,NC,7656825
1997,ND,649716
1997,NE,1686418
1997,NH,1189425
1997,NJ,8218808
1997,NM,1774839
1997,NV,1764104
1997,NY,18656546
1997,OH,11277357
1997,OK,3372917
1997,OR,3304310
1997,PA,12227814
1997,RI,1025353
1997,SC,3859696
1997,SD,744223
1997,TN,5499233
1997,TX,19740317
1997,UT,2119784
1997,VA,6829183
1997,VT,597239
1997,WA,5674747
1997,WI,5266213
